rank,team,teamName,organization,city,region,country,gradeLevel,eventSku,eventDate,combined,programming,driver,maxProgramming,maxDriver,eligible
371,8871A,High Velocity,WALTER JOHNSON JUNIOR HIGH SCHOOL ACADEMY OF INTERNATIONAL S,Las  Vegas,Nevada,United States,Middle School,RE-V5RC-25-1270,2025-11-15,42,15,27,15,27,false
372,9039A,Quackshot,BrandywineBOTS,Wilmington,Delaware,United States,Middle School,RE-V5RC-25-0157,2025-10-09,42,15,27,15,35,false
373,1365Z,Spartabots,East Ridge Middle School,Clermont,Florida,United States,Middle School,RE-V5RC-25-2382,2025-11-15,42,15,27,15,27,false
374,90471B,Sundevils B,Tierra Del Sol Middle School,Lakeside,California,United States,Middle School,RE-V5RC-25-1026,2025-11-15,42,15,27,15,27,false
375,11112W,The Commitments,夸克科学,Haikou,Hainan,China,Middle School,RE-V5RC-25-1913,2025-11-07,42,11,31,11,31,false
376,99232B,Dao,QongWolf Studio,Foshan,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,42,5,37,5,37,false
377,3668A,Sentient Robotics Club - Max Energy,Macau Artificial Intelligence Education Center,Macau,,Macau,Middle School,RE-V5RC-25-0576,2025-10-31,42,3,39,3,39,false
378,80088A,DFD-A,Dongfengdong Road Primary School,Guangzhou,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,42,3,39,3,39,false
379,94198A,94198A,上海市进才中学北校,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,42,1,41,1,41,false
380,61103N,杭州狄邦文理学校,Hangzhou Dipont School of Arts and Science,Hangzhou,Zhejiang,China,Middle School,RE-V5RC-25-0862,2025-08-22,42,0,42,0,42,false
381,11112S,Thunderbolts,夸克科学,Haikou,Hainan,China,Middle School,RE-V5RC-25-1913,2025-11-07,42,0,42,0,42,false
382,8076H,handsome fivesome,Hwa Chong Institution,Singapore,,Singapore,Middle School,RE-V5RC-25-1037,2025-11-19,42,0,42,0,42,false
383,1831P,King's Team Papa,The King's School,North Parramatta,New South Wales,Australia,Middle School,RE-V5RC-25-3206,2025-10-24,41,20,21,20,25,false
384,79419N,Golden Turtles,Carey Baptist College,Perth,Western Australia,Australia,Middle School,RE-V5RC-25-1218,2025-10-17,41,17,24,17,24,false
385,1831F,King's Team Foxtrot,The King's School,North Parramatta,New South Wales,Australia,Middle School,RE-V5RC-25-1876,2025-09-27,41,15,26,15,26,false
386,52305B,Corvex Corax,BELLE PLAINE MIDDLE,Belle Plaine,Kansas,United States,Middle School,RE-V5RC-25-0580,2025-11-15,41,15,26,15,26,false
387,7830K,ACP Noble Knights,Arizona College Prep Middle School,Chandler,Arizona,United States,Middle School,RE-V5RC-25-0270,2025-11-15,41,15,26,15,26,false
388,77360M,Onalaska77360M,ONALASKA JR/SR HIGH,Onalaska,Texas,United States,Middle School,RE-V5RC-25-0205,2025-11-21,41,15,26,15,26,false
389,41000A,Derfus The Whale Shark and W.E.C.T.,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-2224,2025-11-15,41,15,26,15,26,false
390,9185B,Banana Boys,BELLEFONTAINE MIDDLE SCHOOL,Bellefontaine,Ohio,United States,Middle School,RE-V5RC-25-9959,2025-11-15,41,15,26,15,26,false
391,7481C,Rodeo,LEAGUE CITY INT,League City,Texas,United States,Middle School,RE-V5RC-25-1028,2025-10-25,41,15,26,15,26,false
392,66722Y,Operation Yeti,Hartselle Junior High School,Hartselle,Alabama,United States,Middle School,RE-V5RC-25-0154,2025-11-12,41,15,26,15,26,false
393,3303H,Dublin Robotics Hubble,Robolabs Fremont,Dublin,California,United States,Middle School,RE-V5RC-25-1021,2025-10-18,41,15,26,15,26,false
394,9749D,XAB235,Wood River Middle School,Hailey,Idaho,United States,Middle School,RE-V5RC-25-0327,2025-11-07,41,15,26,15,29,false
395,77774Y,Malicious Intent,Madison Middle School,Madison,Mississippi,United States,Middle School,RE-V5RC-25-1105,2025-11-08,41,15,26,15,26,false
396,1067B,OPS - Mangos con Tajin,Nathan Hale Middle School,Omaha,Nebraska,United States,Middle School,RE-V5RC-25-0046,2025-11-15,41,15,26,15,26,false
397,9773C,Phaze,The Lab Robotics,Harrisburg,North Carolina,United States,Middle School,RE-V5RC-25-0050,2025-10-18,41,11,30,11,30,false
398,3359B,Team 2 of Hangzhou Entel Foreign Language School,Hangzhou Entel Foreign Language School,Hangzhou,Zhejiang,China,Middle School,RE-V5RC-25-0373,2025-07-17,41,6,35,6,39,false
399,1468A,1468A,1468A,Fremont,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,41,4,37,4,37,false
400,56788W,FuZhou PingDong&WenBo,FuZhou PingDong&WenBo MS,Fuzhou,Fujian,China,Middle School,RE-V5RC-25-0373,2025-07-17,41,0,41,0,41,false
401,26003R,Rubber Duckies,SHERRARD MIDDLE SCHOOL,Wheeling,West Virginia,United States,Middle School,RE-V5RC-25-1854,2025-11-08,40,20,20,20,20,false
402,46131M,The red tomatoes,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1959,2025-09-04,40,15,25,15,25,false
403,23301Z,Hi-Tech LionZ,CHRIST CHAPEL ACADEMY,Woodbridge,Virginia,United States,Middle School,RE-V5RC-25-9935,2025-10-25,40,15,25,15,25,false
404,7830C,ACP Noble Knights,Arizona College Prep Middle School,Chandler,Arizona,United States,Middle School,RE-V5RC-25-0270,2025-11-15,40,15,25,15,25,false
405,65100N,Niminiminions,"Pymble Ladies College, Sydney, Australia",Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-0679,2025-09-06,40,15,25,15,25,false
406,4613W,Dumplings,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1959,2025-09-04,40,15,25,15,25,false
407,20785R,Rogue,Queen Elizabeth's School,London,,United Kingdom,Middle School,RE-V5RC-25-9988,2025-11-22,40,15,25,15,25,false
408,65100H,Night Fury,"Pymble Ladies College, Sydney, Australia",Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-2210,2025-10-26,40,15,25,15,25,false
409,1940D,1940D,Knox Grammar School,Wahroonga,New South Wales,Australia,Middle School,RE-V5RC-25-3206,2025-10-24,40,15,25,15,25,false
410,216B,The N3rds,Grandville Middle School,Grandville,Michigan,United States,Middle School,RE-V5RC-25-1441,2025-11-08,40,15,25,15,25,false
411,2036G,LEFTOVERS,WILBUR MIDDLE SCHOOL,Wichita,Kansas,United States,Middle School,RE-V5RC-25-2573,2025-11-22,40,15,25,15,25,false
412,8686B,Bricks,SEVIER MIDDLE,Greenville,South Carolina,United States,Middle School,RE-V5RC-25-0796,2025-11-01,40,15,25,15,25,false
413,8686A,The Aces,SEVIER MIDDLE,Greenville,South Carolina,United States,Middle School,RE-V5RC-25-0796,2025-11-01,40,15,25,15,25,false
414,25918E,Made In Metal,Christa Mcauliffe Academy,Wichita,Kansas,United States,Middle School,RE-V5RC-25-2573,2025-11-22,40,15,25,15,25,false
415,8153C,I Say Banana,Hudsonville Robotics - Riley MS,Hudsonville,Michigan,United States,Middle School,RE-V5RC-25-2283,2025-11-24,40,15,25,15,25,false
416,61187F,AR: Dex Force 1,ALLENDALE MIDDLE SCHOOL,Allendale,Michigan,United States,Middle School,RE-V5RC-25-1441,2025-11-08,40,15,25,15,25,false
417,27301X,Interstellar,Waianae Intermediate School,Waianae,Hawaii,United States,Middle School,RE-V5RC-25-2405,2025-11-15,40,15,25,15,25,false
418,2822A,Spartan Design Leonidas,Stauffer (Mary. R.) Middle School,Downey,California,United States,Middle School,RE-V5RC-25-0366,2025-10-18,40,15,25,15,25,false
419,66722D,Dead Batteries,Hartselle Junior High School,Hartselle,Alabama,United States,Middle School,RE-V5RC-25-2149,2025-11-19,40,15,25,15,25,false
420,13000G,702,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-3070,2025-10-27,40,15,25,15,25,false
421,4911E,Ting Tang Walla Walla Bing Bang,Robo-Tech Zone of Michiana,Dowagiac,Michigan,United States,Middle School,RE-V5RC-25-0380,2025-11-15,40,15,25,15,28,false
422,3407R,Redemption,Tustin Area Robotics,Tustin,California,United States,Middle School,RE-V5RC-25-0816,2025-09-13,40,15,25,15,25,false
423,46846W,Wonky,Gordonstoun School,Elgin,,United Kingdom,Middle School,RE-V5RC-25-0073,2025-10-11,40,15,25,15,25,false
424,4613A,Astro-Mechs,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1959,2025-09-04,40,15,25,15,25,false
425,13765V,MTS_1NNOVA,Merchant Taylors' School,London,,United Kingdom,Middle School,RE-V5RC-25-2990,2025-11-08,40,15,25,15,25,false
426,78877B,Scrappers B,Platte Purchase Middle School,Kansas City,Missouri,United States,Middle School,RE-V5RC-25-0144,2025-11-06,40,15,25,15,25,false
427,587Z,Zingbotz,LINCOLN JUNIOR HIGH SCHOOL,Plymouth,Indiana,United States,Middle School,RE-V5RC-25-1978,2025-11-15,40,15,25,15,25,false
428,77360G,Middlecat1,ONALASKA JR/SR HIGH,Onalaska,Texas,United States,Middle School,RE-V5RC-25-0205,2025-11-21,40,15,25,15,25,false
429,938M,Blaze MegaByte,Blaze Robotics Academy,Bellevue,Washington,United States,Middle School,RE-V5RC-25-0205,2025-11-21,40,15,25,15,25,false
430,1304X,American Eagle Robotics,American Eagle Robotics ,Derby,Kansas,United States,Middle School,RE-V5RC-25-2573,2025-11-22,40,15,25,15,25,false
431,16811K,16811K,北京佰立森教育科技有限公司,北京,Beijing,China,Middle School,RE-V5RC-25-2050,2025-10-04,40,4,36,4,36,false
432,4813A,BattleCats,Taipei American School - Middle School,Taipei,,Taiwan,Middle School,RE-V5RC-25-0320,2025-10-25,40,0,40,0,40,false
433,32025A,低调的黑客,温州森马协和学校,温州,Zhejiang,China,Middle School,RE-V5RC-25-3592,2025-11-21,40,0,40,0,40,false
434,71117X,Changping No.1 High School. Beijing,北京市昌平区第一中学,昌平区,Beijing,China,Middle School,RE-V5RC-25-0641,2025-07-29,40,0,40,0,40,false
435,29457X,St Chris Icicles,St Christopher School,Letchworth,,United Kingdom,Middle School,RE-V5RC-25-0625,2025-09-27,39,15,24,15,24,false
436,1060Z,OPS - Win+Z,ALICE BUFFETT MAGNET MIDDLE SCHOOL,Omaha,Nebraska,United States,Middle School,RE-V5RC-25-0438,2025-10-25,39,15,24,15,24,false
437,3477B,Potato Parmigianas,St Andrews Christian College,Wantirna South,Victoria,Australia,Middle School,RE-V5RC-25-0034,2025-11-15,39,15,24,15,30,false
438,8778X,X-Men,Platte City Middle School,Platte City,Missouri,United States,Middle School,RE-V5RC-25-2182,2025-11-22,39,15,24,15,24,false
439,26003B,Cinnamon Toast Crunchers,SHERRARD MIDDLE SCHOOL,Wheeling,West Virginia,United States,Middle School,RE-V5RC-25-0804,2025-11-01,39,15,24,15,24,false
440,4613P,Barker Pinkbacks,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1959,2025-09-04,39,15,24,15,24,false
441,68678M,HAPPY HIPPO,Fancy Robotics International,Taipei,,Taiwan,Middle School,RE-V5RC-25-0320,2025-10-25,39,4,35,4,35,false
442,4863F,Fabrikatorz,Irving STEAM Magnet,Los Angeles,California,United States,Middle School,RE-V5RC-25-0343,2025-11-08,39,3,36,3,36,false
443,66991B,烈焰风暴,Future Leader Robot Club,Beijing,Beijing,China,Middle School,RE-V5RC-25-0641,2025-07-29,39,2,37,2,37,false
444,295P,PART P [Phish],Placer Robotics (PART),Roseville,California,United States,Middle School,RE-V5RC-25-0123,2025-11-01,39,0,39,0,39,false
445,33123A,Mars Style 123A,火星派科技(北京)有限公司,北京市,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,39,0,39,0,39,false
446,11270A,◕CSAA◕ Angus Beef,CSAAFuture,Markham,Ontario,Canada,Middle School,RE-V5RC-25-2570,2025-11-22,39,0,39,0,39,false
447,8193A,Shanghai Yongchang  A,Shanghai Yongchang Private School,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,38,23,15,23,15,false
448,18204G,SCS Gold,Stockdale Christian School,Bakersfield,California,United States,Middle School,RE-V5RC-25-9931,2025-10-25,38,20,18,20,26,false
449,50316Z,VRCJR,COMMODORE JOHN RODGERS ELEMENTARY/MIDDLE,Baltimore,Maryland,United States,Middle School,RE-V5RC-25-0892,2025-10-25,38,15,23,15,23,false
450,13000D,Kachow!,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-2283,2025-11-24,38,15,23,15,23,false
451,51191E,Wired Warriors,Level Up Robots,Lawrence,Kansas,United States,Middle School,RE-V5RC-25-2161,2025-11-23,38,15,23,15,23,false
452,739G,Senior Dum Dums,Kimball Secondary,Kimball,Minnesota,United States,Middle School,RE-V5RC-25-0745,2025-10-21,38,15,23,15,30,false
453,10301B,The American Assembly Line,DOTY MIDDLE,Downey,California,United States,Middle School,RE-V5RC-25-1418,2025-10-04,38,15,23,15,34,false
454,35016T,(AERO) The Legends,ARAB JUNIOR HIGH SCHOOL,Arab,Alabama,United States,Middle School,RE-V5RC-25-0154,2025-11-12,38,7,31,15,32,false
455,61542X,Robo Dojo,Robo Dojo,Franklin,Tennessee,United States,Middle School,RE-V5RC-25-0572,2025-10-03,38,15,23,15,23,false
456,65292B,Ctrl+Alt+Elite,Central Middle School,Bartlesville,Oklahoma,United States,Middle School,RE-V5RC-25-0478,2025-10-25,38,15,23,15,23,false
457,938N,Blaze Nightmare,Blaze Robotics Academy,Bellevue,Washington,United States,Middle School,RE-V5RC-25-0144,2025-11-06,38,15,23,15,23,false
458,93333G,新哲文院机器人社团,新哲文院ROBOT CLUB,深圳,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,38,13,25,13,25,false
459,3303W,Dublin Robotics Wyvern,Dublin Robotics Club,Dublin,California,United States,Middle School,RE-V5RC-25-1460,2025-11-08,38,3,35,3,35,false
460,18186Y,QZ-S,Guangzhou No.7 Middle School,Guangzhou,Guangdong,China,Middle School,RE-V5RC-25-0373,2025-07-17,38,2,36,2,36,false
461,3150Y,Why?,Silver Owl Robotics Inc.,Richmond Hill,Ontario,Canada,Middle School,RE-V5RC-25-0205,2025-11-21,38,1,37,1,37,false
462,16610C,Iced Tea,Techblazers,Richmond Hill,Ontario,Canada,Middle School,RE-V5RC-25-0104,2025-11-01,38,0,38,0,38,false
463,74801A,No Limits,Westwood,Gainesville,Florida,United States,Middle School,RE-V5RC-25-1563,2025-11-08,38,0,38,0,38,false
464,71610X,X-Factor,GORDON PARKS ACADEMY,Wichita,Kansas,United States,Middle School,RE-V5RC-25-0579,2025-10-25,37,15,22,15,22,false
465,216A,Forklift Certified,Grandville Middle School,Grandville,Michigan,United States,Middle School,RE-V5RC-25-1739,2025-11-04,37,15,22,15,22,false
466,216D,Cube^3,Grandville Middle School,Grandville,Michigan,United States,Middle School,RE-V5RC-25-1739,2025-11-04,37,15,22,15,26,false
467,61526C,ST Therese Robotics,ST THERESE SCHOOL,Kansas City,Missouri,United States,Middle School,RE-V5RC-25-2182,2025-11-22,37,15,22,15,22,false
468,938D,Blaze Dynamite,Blaze Robotics Academy,Bellevue,Washington,United States,Middle School,RE-V5RC-25-0800,2025-11-01,37,15,22,15,22,false
469,13000A,The 3 Swifties and an Accidental,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-2224,2025-11-15,37,15,22,15,22,false
470,9568Y,→Mischief←,RoboPlanet Education and Community Society,Richmond,British Columbia,Canada,Middle School,RE-V5RC-25-0680,2025-11-16,37,15,22,15,22,false
471,1831J,King's Team Juliett,The King's School,North Parramatta,New South Wales,Australia,Middle School,RE-V5RC-25-2210,2025-10-26,37,15,22,15,27,false
472,50075A,Phantom,OAK HILL HIGH SCHOOL,Converse,Indiana,United States,Middle School,RE-V5RC-25-1769,2025-10-25,37,15,22,15,22,false
473,83686C,Nutty Buddies,SOUTH MIDDLE SCHOOL,Nampa,Idaho,United States,Middle School,RE-V5RC-25-0327,2025-11-07,37,15,22,15,22,false
474,26003X,Cap'n Crunchers,SHERRARD MIDDLE SCHOOL,Wheeling,West Virginia,United States,Middle School,RE-V5RC-25-1854,2025-11-08,37,15,22,15,22,false
475,79298C,Circuit Breakers,Altona Middle School,Longmont,Colorado,United States,Middle School,RE-V5RC-25-0997,2025-11-15,37,15,22,15,22,false
476,39333W,Legacy Wavebreakers,Legacy Magnet Academy,TUSTIN,California,United States,Middle School,RE-V5RC-25-0649,2025-11-15,37,15,22,15,22,false
477,28666F,Shenzhen Middle School F Team,Shenzhen Middle School,深圳,Guangdong,China,Middle School,RE-V5RC-25-1744,2025-10-03,37,0,37,0,37,false
478,74074E,Eclipse,Pioneer Robotics,Stillwater,Oklahoma,United States,Middle School,RE-V5RC-25-0144,2025-11-06,37,0,37,0,37,false
479,4815C,CPC TEAM C,WEO CHANG PUI CHUNG MEMORIAL SCHOOL,Hong Kong,,Hong Kong,Middle School,RE-V5RC-25-0139,2025-11-22,37,0,37,0,37,false
480,30207C,Cool Cats,THE ALTAMONT SCHOOL,Birmingham,Alabama,United States,Middle School,RE-V5RC-25-1645,2025-10-25,36,20,16,20,18,false
481,938J,Blaze Gearforce,Blaze Robotics Academy,Bellevue,Washington,United States,Middle School,RE-V5RC-25-0800,2025-11-01,36,15,21,15,21,false
482,46131C,Barker Bees,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1959,2025-09-04,36,15,21,15,21,false
483,46131W,Mint Choc Chip,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1959,2025-09-04,36,15,21,15,21,false
484,4613M,Mech Masters,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1959,2025-09-04,36,15,21,15,21,false
485,8686C,Cream Puffs,SEVIER MIDDLE,Greenville,South Carolina,United States,Middle School,RE-V5RC-25-0796,2025-11-01,36,15,21,15,21,false
486,88454C,Damage Report,FAITH Homeschool Co-op,Elizabethtown,Kentucky,United States,Middle School,RE-V5RC-25-2148,2025-11-08,36,15,21,15,21,false
487,1831H,King's Team Hotel,The King's School,North Parramatta,New South Wales,Australia,Middle School,RE-V5RC-25-1876,2025-09-27,36,15,21,15,21,false
488,7830N,ACP Noble Knights,Arizona College Prep Middle School,Chandler,Arizona,United States,Middle School,RE-V5RC-25-0270,2025-11-15,36,15,21,15,21,false
489,98548R,Irrelevant,Bear River High School,Garland,Utah,United States,Middle School,RE-V5RC-25-1483,2025-11-15,36,15,21,15,21,false
490,8778Y,The Autobots,PLATTE CITY MIDDLE,Platte City,Missouri,United States,Middle School,RE-V5RC-25-2182,2025-11-22,36,15,21,15,21,false
491,79298T,Titanium,Altona Middle School,Longmont,Colorado,United States,Middle School,RE-V5RC-25-2582,2025-11-08,36,15,21,15,21,false
492,9749A,MOTORCYCLES GO VROOM,Wood River Middle School,Hailey,Idaho,United States,Middle School,RE-V5RC-25-0327,2025-11-07,36,15,21,15,25,false
493,462A,Wolverines,HARVARD-WESTLAKE,Los Angeles,California,United States,Middle School,RE-V5RC-25-0285,2025-11-15,36,15,21,15,22,false
494,46131R,Gray ham,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1959,2025-09-04,36,15,21,15,21,false
495,50298Z,Gear Busterz,Mapleton Middle School,Ashland,Ohio,United States,Middle School,RE-V5RC-25-1669,2025-10-25,36,15,21,15,21,false
496,71300A,The Krabby Patties,Lied Middle School,Las Vegas,Nevada,United States,Middle School,RE-V5RC-25-1270,2025-11-15,36,15,21,15,21,false
497,7481B,Super B,LEAGUE CITY INT,League City,Texas,United States,Middle School,RE-V5RC-25-2095,2025-10-07,36,15,21,15,21,false
498,3028G,Ladybots,TAG IN PLEASANT GROVE,Dallas,Texas,United States,Middle School,RE-V5RC-25-0197,2025-11-22,36,15,21,15,21,false
499,27908S,LSTS JESKO,Lawrence S.Ting School,Ho Chi Minh City,,Vietnam,Middle School,RE-V5RC-25-1400,2025-11-22,36,15,21,15,21,false
500,10902B,极酷清附二队,极酷创客基地,郑州,Henan,China,Middle School,RE-V5RC-25-3497,2025-11-07,36,3,33,3,33,false
501,10036H,BEIJING INTERNATIONAL BILINGUAL ACADEMY Team H,Haiga International Bilingual School,beijing,Beijing,China,Middle School,RE-V5RC-25-3092,2025-10-24,36,0,36,0,36,false
502,60304V,长春市南湖实验中学,长春市南湖实验中学,长春市,Jilin,China,Middle School,RE-V5RC-25-2050,2025-10-04,36,0,36,0,36,false
503,7635A,7635A,鞍山初级中学,Shanghai,Shanghai,China,Middle School,RE-V5RC-25-1748,2025-10-24,35,21,14,21,14,false
504,39702D,New Hope Robotics,New Hope Robotics,Columbus,Mississippi,United States,Middle School,RE-V5RC-25-1105,2025-11-08,35,20,15,20,15,false
505,663P,Papa's Pepperoni Pizza Extra Pepper,CHATTANOOGA CHRISTIAN SCHOOL,Chattanooga,Tennessee,United States,Middle School,RE-V5RC-25-0281,2025-10-10,35,20,15,20,15,false
506,4810B,Blackout,NORTH UNION MIDDLE SCHOOL,Richwood,Ohio,United States,Middle School,RE-V5RC-25-9959,2025-11-15,35,15,20,15,20,false
507,5770A,Gadget Girls,Baltimore Leadership School For Young Women,Baltimore,Maryland,United States,Middle School,RE-V5RC-25-0892,2025-10-25,35,15,20,15,20,false
508,11850X,NLCS_Enigma,North London Collegiate School,London,,United Kingdom,Middle School,RE-V5RC-25-9988,2025-11-22,35,15,20,15,20,false
509,65100D,cxs,"Pymble Ladies College, Sydney, Australia",Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1957,2025-10-11,35,15,20,15,20,false
510,4233X,The Unknowns,Scott County Middle School,Georgetown,Kentucky,United States,Middle School,RE-V5RC-25-2148,2025-11-08,35,15,20,15,20,false
511,1831B,King's Team Bravo,The King's School,North Parramatta,New South Wales,Australia,Middle School,RE-V5RC-25-1957,2025-10-11,35,15,20,15,20,false
512,83A,Eagle Engineering MS Alpha,CHAMINADE COLLEGE PREPARATORY MIDDLE SCHOOL,Chatsworth,California,United States,Middle School,RE-V5RC-25-0983,2025-10-18,35,15,20,15,20,false
513,67282A,The Mediocre Mechanics,WATSON JUNIOR HIGH SCHOOL,Colorado Springs,Colorado,United States,Middle School,RE-V5RC-25-1058,2025-10-18,35,15,20,15,20,false
514,11850Y,NLCS_Vexalters,North London Collegiate School,London,,United Kingdom,Middle School,RE-V5RC-25-2990,2025-11-08,35,15,20,15,20,false
515,1262C,OPS - Imperial Engineers,Bluestem Middle School,Omaha,Nebraska,United States,Middle School,RE-V5RC-25-0144,2025-11-06,35,15,20,15,21,false
516,2822C,Spartan Design Capabaras,STAUFFER (MARY R.) MIDDLE,Downey,California,United States,Middle School,RE-V5RC-25-0366,2025-10-18,35,15,20,15,20,false
517,28727A,Pink Panthers,CHRIST THE REDEEMER CATHOLIC SCHOOL,Houston,Texas,United States,Middle School,RE-V5RC-25-2263,2025-11-22,35,15,20,15,20,false
518,4810C,Camaraderie Queens,NORTH UNION MIDDLE SCHOOL,Richwood,Ohio,United States,Middle School,RE-V5RC-25-9959,2025-11-15,35,15,20,15,20,false
519,44654C,Robo Rizzards,WEST HOLMES MIDDLE SCHOOL,Millersburg,Ohio,United States,Middle School,RE-V5RC-25-9960,2025-11-14,35,15,20,15,20,false
520,457A,Larger Than Average Seals,JENISON JUNIOR HIGH SCHOOL,Jenison,Michigan,United States,Middle School,RE-V5RC-25-2224,2025-11-15,35,15,20,15,20,false
521,99888A,Cooel_Spiders,Cooel_Spiders,Kelmscott,Western Australia,Australia,Middle School,RE-V5RC-25-1218,2025-10-17,35,15,20,15,20,false
522,14671B,Techimmanuel,Immanuel College,Adelaide,South Australia,Australia,Middle School,RE-V5RC-25-1137,2025-10-18,35,15,20,15,20,false
523,46131B,The Scooby Bots,Barker College,Sydney,New South Wales,Australia,Middle School,RE-V5RC-25-1959,2025-09-04,35,15,20,15,20,false
524,13000P,601,GRANDVILLE MIDDLE SCHOOL,Grandville,Michigan,United States,Middle School,RE-V5RC-25-3070,2025-10-27,35,15,20,15,20,false
525,80550X,ARRK,WINDSOR CHARTER ACADEMY MIDDLE AND EARLY COLLEGE H,Windsor,Colorado,United States,Middle School,RE-V5RC-25-1210,2025-11-01,35,15,20,15,20,false
526,26003Y,Loose Screws,SHERRARD MIDDLE SCHOOL,Wheeling,West Virginia,United States,Middle School,RE-V5RC-25-1854,2025-11-08,35,15,20,15,20,false
527,1365V,Spartabots,East Ridge Middle School,Clermont,Florida,United States,Middle School,RE-V5RC-25-2382,2025-11-15,35,15,20,15,20,false
528,38000B,Hefei X-Personality B,Hefei No.38 middle school,Hefei,Anhui,China,Middle School,RE-V5RC-25-0373,2025-07-17,35,5,30,5,30,false
529,10175G,BASIS International School Shenzhen,BASIS International School Shenzhen,Shenzhen,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,35,4,31,4,31,false
530,462Z,Wolverines,HARVARD-WESTLAKE,Los Angeles,California,United States,Middle School,RE-V5RC-25-0343,2025-11-08,35,2,33,2,33,false
531,19011A,ACE,万里城实验学校,上海,Shanghai,China,Middle School,RE-V5RC-25-3592,2025-11-21,35,0,35,0,35,false
532,10301A,Rainstorm,DOTY MIDDLE,Downey,California,United States,Middle School,RE-V5RC-25-1418,2025-10-04,35,0,35,0,35,false
533,17002B,Shenzhen FLPS-2,Shenzhen Foreign Language Primary School,Shenzhen,Guangdong,China,Middle School,RE-V5RC-25-1913,2025-11-07,35,0,35,0,35,false
534,2821C,Bobcats,Bobcats Robotics,Dallas,Texas,United States,Middle School,RE-V5RC-25-1897,2025-11-08,35,0,35,0,35,false
535,8860A,The Botfathers,Hudsonville Robotics - Baldwin MS,Hudsonville,Michigan,United States,Middle School,RE-V5RC-25-2283,2025-11-24,35,0,35,0,35,false
536,8108F,Jurassic Sparks,NORTH JUNIOR HIGH,Saint Cloud,Minnesota,United States,Middle School,RE-V5RC-25-0745,2025-10-21,34,16,18,16,18,false
537,3660Z,Odd One Out,Barton Academy for Advanced World Studies,Mobile,Alabama,United States,Middle School,RE-V5RC-25-1205,2025-09-30,34,15,19,15,25,false
538,8889Z,Zephyr,Numberosity Academy,Lexington,Massachusetts,United States,Middle School,RE-V5RC-25-1516,2025-11-08,34,15,19,15,19,false
539,57711S,Loose Screws,Alchemy Global STEM Institute,White Pine,Tennessee,United States,Middle School,RE-V5RC-25-0213,2025-10-25,34,15,19,15,33,false
540,33249C,Alpha Centauri,BOB JONES ACADEMY MIDDLE SCHOOL,Greenville,South Carolina,United States,Middle School,RE-V5RC-25-0501,2025-10-25,34,15,19,15,19,false
541,31575S,Combat Wombats,Traverse City Area Public Scho,Traverse City,Michigan,United States,Middle School,RE-V5RC-25-1606,2025-11-22,34,15,19,15,19,false
542,40436A,Bot Builders 3.0,Bot Builders,Little Rock,Arkansas,United States,Middle School,RE-V5RC-25-0135,2025-11-15,34,4,30,4,30,false
543,10004X,Gale Hare,Pu Tai senior high school with junior department,Nantou County,,Taiwan,Middle School,RE-V5RC-25-0320,2025-10-25,34,3,31,3,31,false
544,96140Z,Innervators,WOODCREST SCHOOL,Tarzana,California,United States,Middle School,RE-V5RC-25-0366,2025-10-18,34,1,33,1,33,false
545,11353E,The Geometric Drill,The Geometric Drill,South Jordan,Utah,United States,Middle School,RE-V5RC-25-0581,2025-11-08,34,0,34,0,34,false
546,87867B,Mechabyte,AI Robotics Academy LLC,Plano,Texas,United States,Middle School,RE-V5RC-25-2518,2025-11-15,34,0,34,0,34,false
547,295M,PART M,Placer Robotics (PART),Roseville,California,United States,Middle School,RE-V5RC-25-0054,2025-11-23,34,0,34,0,34,false
